MatchTime,Weekday,Month,Day,Year,Time,Composite,Home,Away,Stadium
"Saturday, May 30, 2015 TBD",Saturday,May,30,2015,00:00,2015-05-30 00:00,Toronto FC,San Jose,BMO Field
"Saturday, May 30, 2015 TBD",Saturday,May,30,2015,00:00,2015-05-30 00:00,New York City,Houston,Yankee Stadium
"Saturday, May 30, 2015 7:00PM EDT",Saturday,May,30,2015,19:00,2015-05-30 19:00,D.C. United,Philadelphia,RFK Stadium
"Saturday, May 30, 2015 7:30PM EDT",Saturday,May,30,2015,19:30,2015-05-30 19:30,Orlando,Columbus,Citrus Bowl
"Saturday, May 30, 2015 8:30PM EDT",Saturday,May,30,2015,20:30,2015-05-30 20:30,Chicago,Montreal,Toyota Park
"Saturday, May 30, 2015 9:00PM EDT",Saturday,May,30,2015,21:00,2015-05-30 21:00,Colorado,Portland,Dick's Sporting Goods Park
"Sunday, May 31, 2015 5:00PM EDT",Sunday,May,31,2015,17:00,2015-05-31 17:00,Seattle,NY Red Bulls,CenturyLink Field
"Sunday, May 31, 2015 7:00PM EDT",Sunday,May,31,2015,19:00,2015-05-31 19:00,New England,LA Galaxy,Gillette Stadium
"Wednesday, June 3, 2015 TBD",Wednesday,June,3,2015,00:00,2015-06-03 00:00,Montreal,Vancouver,Stade Saputo
"Wednesday, June 3, 2015 7:00PM EDT",Wednesday,June,3,2015,19:00,2015-06-03 19:00,Philadelphia,Columbus,PPL Park
"Wednesday, June 3, 2015 7:00PM EDT",Wednesday,June,3,2015,19:00,2015-06-03 19:00,D.C. United,Chicago,RFK Stadium
"Friday, June 5, 2015 9:00PM EDT",Friday,June,5,2015,21:00,2015-06-05 21:00,Houston,NY Red Bulls,BBVA Compass Stadium
"Saturday, June 6, 2015 7:00PM EDT",Saturday,June,6,2015,19:00,2015-06-06 19:00,D.C. United,Toronto FC,RFK Stadium
"Saturday, June 6, 2015 7:00PM EDT",Saturday,June,6,2015,19:00,2015-06-06 19:00,Philadelphia,New York City,PPL Park
"Saturday, June 6, 2015 7:30PM EDT",Saturday,June,6,2015,19:30,2015-06-06 19:30,Columbus,Montreal,Crew Stadium
"Saturday, June 6, 2015 8:30PM EDT",Saturday,June,6,2015,20:30,2015-06-06 20:30,Chicago,Orlando,Toyota Park
"Saturday, June 6, 2015 8:30PM EDT",Saturday,June,6,2015,20:30,2015-06-06 20:30,Sporting KC,Seattle,Sporting Park
"Saturday, June 6, 2015 10:30PM EDT",Saturday,June,6,2015,20:30,2015-06-06 20:30,Portland,New England,Providence Park
"Saturday, June 6, 2015 10:30PM EDT",Saturday,June,6,2015,20:30,2015-06-06 20:30,LA Galaxy,Vancouver,Stubhub Center
"Sunday, June 7, 2015 5:00PM EDT",Sunday,June,7,2015,17:00,2015-06-07 17:00,Real Salt Lake,Colorado,Rio Tinto Stadium
"Sunday, June 7, 2015 7:00PM EDT",Sunday,June,7,2015,19:00,2015-06-07 19:00,San Jose,FC Dallas,Avaya Stadium
"Saturday, June 13, 2015 TBD",Saturday,June,13,2015,00:00,2015-06-13 00:00,Seattle,FC Dallas,CenturyLink Field
"Saturday, June 13, 2015 TBD",Saturday,June,13,2015,00:00,2015-06-13 00:00,New York City,Montreal,Yankee Stadium
"Saturday, June 13, 2015 7:30PM EDT",Saturday,June,13,2015,19:30,2015-06-13 19:30,Columbus,LA Galaxy,Crew Stadium
"Sunday, June 14, 2015 7:00PM EDT",Sunday,June,14,2015,19:00,2015-06-14 19:00,Orlando,D.C. United,Citrus Bowl
"Friday, June 19, 2015 9:00PM EDT",Friday,June,19,2015,21:00,2015-06-19 21:00,Colorado,FC Dallas,Dick's Sporting Goods Park
"Saturday, June 20, 2015 TBD",Saturday,June,20,2015,00:00,2015-06-20 00:00,Seattle,San Jose,CenturyLink Field
"Saturday, June 20, 2015 TBD",Saturday,June,20,2015,00:00,2015-06-20 00:00,Montreal,Orlando,Stade Saputo
"Saturday, June 20, 2015 TBD",Saturday,June,20,2015,00:00,2015-06-20 00:00,Toronto FC,New York City,BMO Field
"Saturday, June 20, 2015 7:00PM EDT",Saturday,June,20,2015,19:00,2015-06-20 19:00,NY Red Bulls,Vancouver,Red Bull Arena
"Saturday, June 20, 2015 10:30PM EDT",Saturday,June,20,2015,20:30,2015-06-20 20:30,Portland,Houston,Providence Park
"Saturday, June 20, 2015 10:30PM EDT",Saturday,June,20,2015,20:30,2015-06-20 20:30,LA Galaxy,Philadelphia,Stubhub Center
"Sunday, June 21, 2015 5:00PM EDT",Sunday,June,21,2015,17:00,2015-06-21 17:00,D.C. United,New England,RFK Stadium
"Sunday, June 21, 2015 10:00PM EDT",Sunday,June,21,2015,20:00,2015-06-21 20:00,Real Salt Lake,Sporting KC,Rio Tinto Stadium
"Wednesday, June 24, 2015 TBD",Wednesday,June,24,2015,00:00,2015-06-24 00:00,Toronto FC,Montreal,BMO Field
"Wednesday, June 24, 2015 7:00PM EDT",Wednesday,June,24,2015,19:00,2015-06-24 19:00,Philadelphia,Seattle,PPL Park
"Wednesday, June 24, 2015 7:30PM EDT",Wednesday,June,24,2015,19:30,2015-06-24 19:30,Columbus,New England,Crew Stadium
"Wednesday, June 24, 2015 7:30PM EDT",Wednesday,June,24,2015,19:30,2015-06-24 19:30,Orlando,Colorado,Citrus Bowl
"Wednesday, June 24, 2015 7:30PM EDT",Wednesday,June,24,2015,19:30,2015-06-24 19:30,NY Red Bulls,Real Salt Lake,Red Bull Arena
"Wednesday, June 24, 2015 8:30PM EDT",Wednesday,June,24,2015,20:30,2015-06-24 20:30,Chicago,D.C. United,Toyota Park
"Wednesday, June 24, 2015 11:00PM EDT",Wednesday,June,24,2015,23:00,2015-06-24 23:00,LA Galaxy,Portland,Stubhub Center
"Friday, June 26, 2015 9:00PM EDT",Friday,June,26,2015,21:00,2015-06-26 21:00,FC Dallas,Houston,Toyota Stadium
